filepath,gesture,session_id,sequence_idx,timestamp
data/red/subject_001_001.npy,red,subject_001,0,002_001_001.mp4
data/red/subject_001_002.npy,red,subject_001,1,002_001_002.mp4
data/red/subject_001_003.npy,red,subject_001,2,002_001_003.mp4
data/red/subject_001_004.npy,red,subject_001,3,002_001_004.mp4
data/red/subject_001_005.npy,red,subject_001,4,002_001_005.mp4
data/red/subject_002_001.npy,red,subject_002,5,002_002_001.mp4
data/red/subject_002_002.npy,red,subject_002,6,002_002_002.mp4
data/red/subject_002_003.npy,red,subject_002,7,002_002_003.mp4
data/red/subject_002_004.npy,red,subject_002,8,002_002_004.mp4
data/red/subject_002_005.npy,red,subject_002,9,002_002_005.mp4
data/red/subject_003_001.npy,red,subject_003,10,002_003_001.mp4
data/red/subject_003_002.npy,red,subject_003,11,002_003_002.mp4
data/red/subject_003_003.npy,red,subject_003,12,002_003_003.mp4
data/red/subject_003_004.npy,red,subject_003,13,002_003_004.mp4
data/red/subject_003_005.npy,red,subject_003,14,002_003_005.mp4
data/red/subject_004_001.npy,red,subject_004,15,002_004_001.mp4
data/red/subject_004_002.npy,red,subject_004,16,002_004_002.mp4
data/red/subject_004_003.npy,red,subject_004,17,002_004_003.mp4
data/red/subject_004_004.npy,red,subject_004,18,002_004_004.mp4
data/red/subject_004_005.npy,red,subject_004,19,002_004_005.mp4
data/red/subject_005_001.npy,red,subject_005,20,002_005_001.mp4
data/red/subject_005_002.npy,red,subject_005,21,002_005_002.mp4
data/red/subject_005_003.npy,red,subject_005,22,002_005_003.mp4
data/red/subject_005_004.npy,red,subject_005,23,002_005_004.mp4
data/red/subject_005_005.npy,red,subject_005,24,002_005_005.mp4
data/red/subject_006_001.npy,red,subject_006,25,002_006_001.mp4
data/red/subject_006_002.npy,red,subject_006,26,002_006_002.mp4
data/red/subject_006_003.npy,red,subject_006,27,002_006_003.mp4
data/red/subject_006_004.npy,red,subject_006,28,002_006_004.mp4
data/red/subject_006_005.npy,red,subject_006,29,002_006_005.mp4
data/red/subject_007_001.npy,red,subject_007,30,002_007_001.mp4
data/red/subject_007_002.npy,red,subject_007,31,002_007_002.mp4
data/red/subject_007_003.npy,red,subject_007,32,002_007_003.mp4
data/red/subject_007_004.npy,red,subject_007,33,002_007_004.mp4
data/red/subject_007_005.npy,red,subject_007,34,002_007_005.mp4
data/red/subject_008_001.npy,red,subject_008,35,002_008_001.mp4
data/red/subject_008_002.npy,red,subject_008,36,002_008_002.mp4
data/red/subject_008_003.npy,red,subject_008,37,002_008_003.mp4
data/red/subject_008_004.npy,red,subject_008,38,002_008_004.mp4
data/red/subject_008_005.npy,red,subject_008,39,002_008_005.mp4
data/red/subject_009_001.npy,red,subject_009,40,002_009_001.mp4
data/red/subject_009_002.npy,red,subject_009,41,002_009_002.mp4
data/red/subject_009_003.npy,red,subject_009,42,002_009_003.mp4
