filepath,gesture,session_id,split
data/red/subject_001_001.npy,red,subject_001,test
data/red/subject_001_002.npy,red,subject_001,test
data/red/subject_001_003.npy,red,subject_001,test
data/red/subject_001_004.npy,red,subject_001,test
data/red/subject_001_005.npy,red,subject_001,test
data/red/subject_002_001.npy,red,subject_002,test
data/red/subject_002_002.npy,red,subject_002,test
data/red/subject_002_003.npy,red,subject_002,test
data/red/subject_002_004.npy,red,subject_002,test
data/red/subject_002_005.npy,red,subject_002,test
data/red/subject_003_001.npy,red,subject_003,train
data/red/subject_003_002.npy,red,subject_003,train
data/red/subject_003_003.npy,red,subject_003,train
data/red/subject_003_004.npy,red,subject_003,train
data/red/subject_003_005.npy,red,subject_003,train
data/red/subject_004_001.npy,red,subject_004,train
data/red/subject_004_002.npy,red,subject_004,train
data/red/subject_004_003.npy,red,subject_004,train
data/red/subject_004_004.npy,red,subject_004,train
data/red/subject_004_005.npy,red,subject_004,train
data/red/subject_005_001.npy,red,subject_005,val
data/red/subject_005_002.npy,red,subject_005,val
data/red/subject_005_003.npy,red,subject_005,val
data/red/subject_005_004.npy,red,subject_005,val
data/red/subject_005_005.npy,red,subject_005,val
data/red/subject_006_001.npy,red,subject_006,train
data/red/subject_006_002.npy,red,subject_006,train
data/red/subject_006_003.npy,red,subject_006,train
data/red/subject_006_004.npy,red,subject_006,train
data/red/subject_006_005.npy,red,subject_006,train
data/red/subject_007_001.npy,red,subject_007,train
data/red/subject_007_002.npy,red,subject_007,train
data/red/subject_007_003.npy,red,subject_007,train
data/red/subject_007_004.npy,red,subject_007,train
data/red/subject_007_005.npy,red,subject_007,train
data/red/subject_008_001.npy,red,subject_008,train
data/red/subject_008_002.npy,red,subject_008,train
data/red/subject_008_003.npy,red,subject_008,train
data/red/subject_008_004.npy,red,subject_008,train
data/red/subject_008_005.npy,red,subject_008,train
data/red/subject_009_001.npy,red,subject_009,train
data/red/subject_009_002.npy,red,subject_009,train
data/red/subject_009_003.npy,red,subject_009,train
data/red/subject_009_004.npy,red,subject_009,train
data/red/subject_009_005.npy,red,subject_009,train
data/red/subject_010_001.npy,red,subject_010,val
data/red/subject_010_002.npy,red,subject_010,val
data/red/subject_010_003.npy,red,subject_010,val
data/red/subject_010_004.npy,red,subject_010,val
data/red/subject_010_005.npy,red,subject_010,val
data/green/subject_001_001.npy,green,subject_001,test
data/green/subject_001_002.npy,green,subject_001,test
data/green/subject_001_003.npy,green,subject_001,test
data/green/subject_001_004.npy,green,subject_001,test
data/green/subject_001_005.npy,green,subject_001,test
data/green/subject_002_001.npy,green,subject_002,test
data/green/subject_002_002.npy,green,subject_002,test
data/green/subject_002_003.npy,green,subject_002,test
data/green/subject_002_004.npy,green,subject_002,test
data/green/subject_002_005.npy,green,subject_002,test
data/green/subject_003_001.npy,green,subject_003,train
data/green/subject_003_002.npy,green,subject_003,train
data/green/subject_003_003.npy,green,subject_003,train
data/green/subject_003_004.npy,green,subject_003,train
data/green/subject_003_005.npy,green,subject_003,train
data/green/subject_004_001.npy,green,subject_004,train
data/green/subject_004_002.npy,green,subject_004,train
data/green/subject_004_003.npy,green,subject_004,train
data/green/subject_004_004.npy,green,subject_004,train
data/green/subject_004_005.npy,green,subject_004,train
data/green/subject_005_001.npy,green,subject_005,val
data/green/subject_005_002.npy,green,subject_005,val
data/green/subject_005_003.npy,green,subject_005,val
data/green/subject_005_004.npy,green,subject_005,val
data/green/subject_005_005.npy,green,subject_005,val
data/green/subject_006_001.npy,green,subject_006,train
data/green/subject_006_002.npy,green,subject_006,train
data/green/subject_006_003.npy,green,subject_006,train
data/green/subject_006_004.npy,green,subject_006,train
data/green/subject_006_005.npy,green,subject_006,train
data/green/subject_007_001.npy,green,subject_007,train
data/green/subject_007_002.npy,green,subject_007,train
data/green/subject_007_003.npy,green,subject_007,train
data/green/subject_007_004.npy,green,subject_007,train
data/green/subject_007_005.npy,green,subject_007,train
data/green/subject_008_001.npy,green,subject_008,train
data/green/subject_008_002.npy,green,subject_008,train
data/green/subject_008_003.npy,green,subject_008,train
data/green/subject_008_004.npy,green,subject_008,train
data/green/subject_008_005.npy,green,subject_008,train
data/green/subject_009_001.npy,green,subject_009,train
data/green/subject_009_002.npy,green,subject_009,train
data/green/subject_009_003.npy,green,subject_009,train
data/green/subject_009_004.npy,green,subject_009,train
data/green/subject_009_005.npy,green,subject_009,train
data/green/subject_010_001.npy,green,subject_010,val
data/green/subject_010_002.npy,green,subject_010,val
data/green/subject_010_003.npy,green,subject_010,val
data/green/subject_010_004.npy,green,subject_010,val
data/green/subject_010_005.npy,green,subject_010,val
data/milk/subject_001_001.npy,milk,subject_001,test
data/milk/subject_001_002.npy,milk,subject_001,test
data/milk/subject_001_003.npy,milk,subject_001,test
data/milk/subject_001_004.npy,milk,subject_001,test
data/milk/subject_001_005.npy,milk,subject_001,test
data/milk/subject_002_001.npy,milk,subject_002,test
data/milk/subject_002_002.npy,milk,subject_002,test
data/milk/subject_002_003.npy,milk,subject_002,test
data/milk/subject_002_004.npy,milk,subject_002,test
data/milk/subject_002_005.npy,milk,subject_002,test
data/milk/subject_003_001.npy,milk,subject_003,train
data/milk/subject_003_002.npy,milk,subject_003,train
data/milk/subject_003_003.npy,milk,subject_003,train
data/milk/subject_003_004.npy,milk,subject_003,train
data/milk/subject_003_005.npy,milk,subject_003,train
data/milk/subject_004_001.npy,milk,subject_004,train
data/milk/subject_004_002.npy,milk,subject_004,train
data/milk/subject_004_003.npy,milk,subject_004,train
data/milk/subject_004_004.npy,milk,subject_004,train
data/milk/subject_004_005.npy,milk,subject_004,train
data/milk/subject_005_001.npy,milk,subject_005,val
data/milk/subject_005_002.npy,milk,subject_005,val
data/milk/subject_005_003.npy,milk,subject_005,val
data/milk/subject_005_004.npy,milk,subject_005,val
data/milk/subject_005_005.npy,milk,subject_005,val
data/milk/subject_006_001.npy,milk,subject_006,train
data/milk/subject_006_002.npy,milk,subject_006,train
data/milk/subject_006_003.npy,milk,subject_006,train
data/milk/subject_006_004.npy,milk,subject_006,train
data/milk/subject_006_005.npy,milk,subject_006,train
data/milk/subject_007_001.npy,milk,subject_007,train
data/milk/subject_007_002.npy,milk,subject_007,train
data/milk/subject_007_003.npy,milk,subject_007,train
data/milk/subject_007_004.npy,milk,subject_007,train
data/milk/subject_007_005.npy,milk,subject_007,train
data/milk/subject_008_001.npy,milk,subject_008,train
data/milk/subject_008_002.npy,milk,subject_008,train
data/milk/subject_008_003.npy,milk,subject_008,train
data/milk/subject_008_004.npy,milk,subject_008,train
data/milk/subject_008_005.npy,milk,subject_008,train
data/milk/subject_009_001.npy,milk,subject_009,train
data/milk/subject_009_002.npy,milk,subject_009,train
data/milk/subject_009_003.npy,milk,subject_009,train
data/milk/subject_009_004.npy,milk,subject_009,train
data/milk/subject_009_005.npy,milk,subject_009,train
data/milk/subject_010_001.npy,milk,subject_010,val
data/milk/subject_010_002.npy,milk,subject_010,val
data/milk/subject_010_003.npy,milk,subject_010,val
data/milk/subject_010_004.npy,milk,subject_010,val
data/milk/subject_010_005.npy,milk,subject_010,val
data/water/subject_001_001.npy,water,subject_001,test
data/water/subject_001_002.npy,water,subject_001,test
data/water/subject_001_003.npy,water,subject_001,test
data/water/subject_001_004.npy,water,subject_001,test
data/water/subject_001_005.npy,water,subject_001,test
data/water/subject_002_001.npy,water,subject_002,test
data/water/subject_002_002.npy,water,subject_002,test
data/water/subject_002_003.npy,water,subject_002,test
data/water/subject_002_004.npy,water,subject_002,test
data/water/subject_002_005.npy,water,subject_002,test
data/water/subject_003_001.npy,water,subject_003,train
data/water/subject_003_002.npy,water,subject_003,train
data/water/subject_003_003.npy,water,subject_003,train
data/water/subject_003_004.npy,water,subject_003,train
data/water/subject_003_005.npy,water,subject_003,train
data/water/subject_004_001.npy,water,subject_004,train
data/water/subject_004_002.npy,water,subject_004,train
data/water/subject_004_003.npy,water,subject_004,train
data/water/subject_004_004.npy,water,subject_004,train
data/water/subject_004_005.npy,water,subject_004,train
data/water/subject_005_001.npy,water,subject_005,val
data/water/subject_005_002.npy,water,subject_005,val
data/water/subject_005_003.npy,water,subject_005,val
data/water/subject_005_004.npy,water,subject_005,val
data/water/subject_005_005.npy,water,subject_005,val
data/water/subject_006_001.npy,water,subject_006,train
data/water/subject_006_002.npy,water,subject_006,train
data/water/subject_006_003.npy,water,subject_006,train
data/water/subject_006_004.npy,water,subject_006,train
data/water/subject_006_005.npy,water,subject_006,train
data/water/subject_007_001.npy,water,subject_007,train
data/water/subject_007_002.npy,water,subject_007,train
data/water/subject_007_003.npy,water,subject_007,train
data/water/subject_007_004.npy,water,subject_007,train
data/water/subject_007_005.npy,water,subject_007,train
data/water/subject_008_001.npy,water,subject_008,train
data/water/subject_008_002.npy,water,subject_008,train
data/water/subject_008_003.npy,water,subject_008,train
data/water/subject_008_004.npy,water,subject_008,train
data/water/subject_008_005.npy,water,subject_008,train
data/water/subject_009_001.npy,water,subject_009,train
data/water/subject_009_002.npy,water,subject_009,train
data/water/subject_009_003.npy,water,subject_009,train
data/water/subject_009_004.npy,water,subject_009,train
data/water/subject_009_005.npy,water,subject_009,train
data/water/subject_010_001.npy,water,subject_010,val
data/water/subject_010_002.npy,water,subject_010,val
data/water/subject_010_003.npy,water,subject_010,val
data/water/subject_010_004.npy,water,subject_010,val
data/water/subject_010_005.npy,water,subject_010,val
data/food/subject_001_001.npy,food,subject_001,test
data/food/subject_001_002.npy,food,subject_001,test
data/food/subject_001_003.npy,food,subject_001,test
data/food/subject_001_004.npy,food,subject_001,test
data/food/subject_001_005.npy,food,subject_001,test
data/food/subject_002_001.npy,food,subject_002,test
data/food/subject_002_002.npy,food,subject_002,test
data/food/subject_002_003.npy,food,subject_002,test
data/food/subject_002_004.npy,food,subject_002,test
data/food/subject_002_005.npy,food,subject_002,test
data/food/subject_003_001.npy,food,subject_003,train
data/food/subject_003_002.npy,food,subject_003,train
data/food/subject_003_003.npy,food,subject_003,train
data/food/subject_003_004.npy,food,subject_003,train
data/food/subject_003_005.npy,food,subject_003,train
data/food/subject_004_001.npy,food,subject_004,train
data/food/subject_004_002.npy,food,subject_004,train
data/food/subject_004_003.npy,food,subject_004,train
data/food/subject_004_004.npy,food,subject_004,train
data/food/subject_004_005.npy,food,subject_004,train
data/food/subject_005_001.npy,food,subject_005,val
data/food/subject_005_002.npy,food,subject_005,val
data/food/subject_005_003.npy,food,subject_005,val
data/food/subject_005_004.npy,food,subject_005,val
data/food/subject_005_005.npy,food,subject_005,val
data/food/subject_006_001.npy,food,subject_006,train
data/food/subject_006_002.npy,food,subject_006,train
data/food/subject_006_003.npy,food,subject_006,train
data/food/subject_006_004.npy,food,subject_006,train
data/food/subject_007_001.npy,food,subject_007,train
data/food/subject_007_002.npy,food,subject_007,train
data/food/subject_007_003.npy,food,subject_007,train
data/food/subject_007_004.npy,food,subject_007,train
data/food/subject_007_005.npy,food,subject_007,train
data/food/subject_008_001.npy,food,subject_008,train
data/food/subject_008_002.npy,food,subject_008,train
data/food/subject_008_003.npy,food,subject_008,train
data/food/subject_008_004.npy,food,subject_008,train
data/food/subject_008_005.npy,food,subject_008,train
data/food/subject_009_001.npy,food,subject_009,train
data/food/subject_009_002.npy,food,subject_009,train
data/food/subject_009_003.npy,food,subject_009,train
data/food/subject_009_004.npy,food,subject_009,train
data/food/subject_009_005.npy,food,subject_009,train
data/food/subject_010_001.npy,food,subject_010,val
data/food/subject_010_002.npy,food,subject_010,val
data/food/subject_010_003.npy,food,subject_010,val
data/food/subject_010_004.npy,food,subject_010,val
data/food/subject_010_005.npy,food,subject_010,val
data/name/subject_001_001.npy,name,subject_001,test
data/name/subject_001_002.npy,name,subject_001,test
data/name/subject_001_003.npy,name,subject_001,test
data/name/subject_001_004.npy,name,subject_001,test
data/name/subject_001_005.npy,name,subject_001,test
data/name/subject_002_001.npy,name,subject_002,test
data/name/subject_002_002.npy,name,subject_002,test
data/name/subject_002_003.npy,name,subject_002,test
data/name/subject_002_004.npy,name,subject_002,test
data/name/subject_002_005.npy,name,subject_002,test
data/name/subject_003_001.npy,name,subject_003,train
data/name/subject_003_002.npy,name,subject_003,train
data/name/subject_003_003.npy,name,subject_003,train
data/name/subject_003_004.npy,name,subject_003,train
data/name/subject_003_005.npy,name,subject_003,train
data/name/subject_004_001.npy,name,subject_004,train
data/name/subject_004_002.npy,name,subject_004,train
data/name/subject_004_003.npy,name,subject_004,train
data/name/subject_004_004.npy,name,subject_004,train
data/name/subject_004_005.npy,name,subject_004,train
data/name/subject_005_001.npy,name,subject_005,val
data/name/subject_005_002.npy,name,subject_005,val
data/name/subject_005_003.npy,name,subject_005,val
data/name/subject_005_004.npy,name,subject_005,val
data/name/subject_005_005.npy,name,subject_005,val
data/name/subject_006_001.npy,name,subject_006,train
data/name/subject_006_002.npy,name,subject_006,train
data/name/subject_006_003.npy,name,subject_006,train
data/name/subject_006_004.npy,name,subject_006,train
data/name/subject_006_005.npy,name,subject_006,train
data/name/subject_007_001.npy,name,subject_007,train
data/name/subject_007_002.npy,name,subject_007,train
data/name/subject_007_003.npy,name,subject_007,train
data/name/subject_007_004.npy,name,subject_007,train
data/name/subject_007_005.npy,name,subject_007,train
data/name/subject_008_001.npy,name,subject_008,train
data/name/subject_008_002.npy,name,subject_008,train
data/name/subject_008_003.npy,name,subject_008,train
data/name/subject_008_004.npy,name,subject_008,train
data/name/subject_008_005.npy,name,subject_008,train
data/name/subject_009_001.npy,name,subject_009,train
data/name/subject_009_002.npy,name,subject_009,train
data/name/subject_009_003.npy,name,subject_009,train
data/name/subject_009_004.npy,name,subject_009,train
data/name/subject_009_005.npy,name,subject_009,train
data/name/subject_010_001.npy,name,subject_010,val
data/name/subject_010_002.npy,name,subject_010,val
data/name/subject_010_003.npy,name,subject_010,val
data/name/subject_010_004.npy,name,subject_010,val
data/name/subject_010_005.npy,name,subject_010,val
data/thanks/subject_001_001.npy,thanks,subject_001,test
data/thanks/subject_001_002.npy,thanks,subject_001,test
data/thanks/subject_001_003.npy,thanks,subject_001,test
data/thanks/subject_001_004.npy,thanks,subject_001,test
data/thanks/subject_001_005.npy,thanks,subject_001,test
data/thanks/subject_002_001.npy,thanks,subject_002,test
data/thanks/subject_002_002.npy,thanks,subject_002,test
data/thanks/subject_002_003.npy,thanks,subject_002,test
data/thanks/subject_002_004.npy,thanks,subject_002,test
data/thanks/subject_002_005.npy,thanks,subject_002,test
data/thanks/subject_003_001.npy,thanks,subject_003,train
data/thanks/subject_003_002.npy,thanks,subject_003,train
data/thanks/subject_003_003.npy,thanks,subject_003,train
data/thanks/subject_003_004.npy,thanks,subject_003,train
data/thanks/subject_003_005.npy,thanks,subject_003,train
data/thanks/subject_004_001.npy,thanks,subject_004,train
data/thanks/subject_004_002.npy,thanks,subject_004,train
data/thanks/subject_004_003.npy,thanks,subject_004,train
data/thanks/subject_004_004.npy,thanks,subject_004,train
data/thanks/subject_004_005.npy,thanks,subject_004,train
data/thanks/subject_005_001.npy,thanks,subject_005,val
data/thanks/subject_005_002.npy,thanks,subject_005,val
data/thanks/subject_005_003.npy,thanks,subject_005,val
data/thanks/subject_005_004.npy,thanks,subject_005,val
data/thanks/subject_005_005.npy,thanks,subject_005,val
data/thanks/subject_006_001.npy,thanks,subject_006,train
data/thanks/subject_006_002.npy,thanks,subject_006,train
data/thanks/subject_006_003.npy,thanks,subject_006,train
data/thanks/subject_006_004.npy,thanks,subject_006,train
data/thanks/subject_006_005.npy,thanks,subject_006,train
data/thanks/subject_007_001.npy,thanks,subject_007,train
data/thanks/subject_007_002.npy,thanks,subject_007,train
data/thanks/subject_007_003.npy,thanks,subject_007,train
data/thanks/subject_007_004.npy,thanks,subject_007,train
data/thanks/subject_007_005.npy,thanks,subject_007,train
data/thanks/subject_008_001.npy,thanks,subject_008,train
data/thanks/subject_008_002.npy,thanks,subject_008,train
data/thanks/subject_008_003.npy,thanks,subject_008,train
data/thanks/subject_008_004.npy,thanks,subject_008,train
data/thanks/subject_008_005.npy,thanks,subject_008,train
data/thanks/subject_009_001.npy,thanks,subject_009,train
data/thanks/subject_009_002.npy,thanks,subject_009,train
data/thanks/subject_009_003.npy,thanks,subject_009,train
data/thanks/subject_009_004.npy,thanks,subject_009,train
data/thanks/subject_009_005.npy,thanks,subject_009,train
data/thanks/subject_010_001.npy,thanks,subject_010,val
data/thanks/subject_010_002.npy,thanks,subject_010,val
data/thanks/subject_010_003.npy,thanks,subject_010,val
data/thanks/subject_010_004.npy,thanks,subject_010,val
data/thanks/subject_010_005.npy,thanks,subject_010,val
data/help/subject_001_002.npy,help,subject_001,test
data/help/subject_001_003.npy,help,subject_001,test
data/help/subject_001_004.npy,help,subject_001,test
data/help/subject_001_005.npy,help,subject_001,test
data/help/subject_002_001.npy,help,subject_002,test
data/help/subject_002_002.npy,help,subject_002,test
data/help/subject_002_003.npy,help,subject_002,test
data/help/subject_002_004.npy,help,subject_002,test
data/help/subject_002_005.npy,help,subject_002,test
data/help/subject_003_001.npy,help,subject_003,train
data/help/subject_003_002.npy,help,subject_003,train
data/help/subject_003_003.npy,help,subject_003,train
data/help/subject_003_004.npy,help,subject_003,train
data/help/subject_003_005.npy,help,subject_003,train
data/help/subject_004_001.npy,help,subject_004,train
data/help/subject_004_002.npy,help,subject_004,train
data/help/subject_004_003.npy,help,subject_004,train
data/help/subject_004_004.npy,help,subject_004,train
data/help/subject_004_005.npy,help,subject_004,train
data/help/subject_005_001.npy,help,subject_005,val
data/help/subject_005_002.npy,help,subject_005,val
data/help/subject_005_003.npy,help,subject_005,val
data/help/subject_005_004.npy,help,subject_005,val
data/help/subject_005_005.npy,help,subject_005,val
data/help/subject_006_001.npy,help,subject_006,train
data/help/subject_006_002.npy,help,subject_006,train
data/help/subject_006_003.npy,help,subject_006,train
data/help/subject_006_004.npy,help,subject_006,train
